name,description,brand,price,category,subCategory,thirdCategory,countInStock,image,location,createdAt,isActive
Apple iPhone 13,128GB smartphone with A15 chip,Apple,599,Mobiles,Smartphones,iOS,25,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600&auto=format&fit=crop&q=60,New York USA,2025-12-20T10:00:00.000Z,true
Samsung Galaxy S21,128GB AMOLED display,Samsung,549,Mobiles,Smartphones,Android,30,https://images.unsplash.com/photo-1603808033171-8e2b0d4b5c48?w=600&auto=format&fit=crop&q=60,San Francisco USA,2025-12-19T12:30:00.000Z,true
Dell XPS 13,13-inch ultrabook with Intel i7,Dell,899,Computers & Laptops,Laptops,Ultrabook,18,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Chicago USA,2025-12-18T08:45:00.000Z,true
HP Pavilion 15,15-inch laptop with Ryzen 5,HP,699,Computers & Laptops,Laptops,Everyday,22,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?w=600&auto=format&fit=crop&q=60,Austin USA,2025-12-22T15:00:00.000Z,true
Canon EOS 200D,Entry-level DSLR camera,Canon,479,Cameras & Lenses,Cameras,DSLR,16,https://images.unsplash.com/photo-1519183071298-a2962be96d57?w=600&auto=format&fit=crop&q=60,Los Angeles USA,2025-12-21T11:20:00.000Z,true
Sony Alpha a6400,Mirrorless camera 24MP,Sony,799,Cameras & Lenses,Cameras,Mirrorless,12,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b?w=600&auto=format&fit=crop&q=60,Seattle USA,2025-12-17T14:00:00.000Z,true
Lenovo ThinkPad E14,Business laptop i5,Lenovo,629,Computers & Laptops,Laptops,Business,25,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Boston USA,2025-12-16T09:00:00.000Z,true
Apple iPad Air,10.9-inch tablet,Apple,499,Electronics & Appliances,Tablets,Tablet,28,https://images.unsplash.com/photo-1542751110-97427bbecf20?w=600&auto=format&fit=crop&q=60,Miami USA,2025-12-22T09:10:00.000Z,true
Samsung Galaxy Tab S7,11-inch tablet,Samsung,429,Electronics & Appliances,Tablets,Android Tablet,20,https://images.unsplash.com/photo-1580910051073-b5162b62b02d?w=600&auto=format&fit=crop&q=60,Portland USA,2025-12-20T16:10:00.000Z,true
Whirlpool 1.5T AC,Split AC energy efficient,Whirlpool,389,Electronics & Appliances,AC,Split AC,10,https://images.unsplash.com/photo-1601510676400-9b6ff8b3e135?w=600&auto=format&fit=crop&q=60,Houston USA,2025-12-15T10:10:00.000Z,true
LG Smart TV 55”,4K UHD LED TV,LG,649,Electronics & Appliances,TVs,Smart TV,14,https://images.unsplash.com/photo-1495105787525-50bb39be3c07?w=600&auto=format&fit=crop&q=60,Denver USA,2025-12-18T21:10:00.000Z,true
Sony WH-1000XM4,Noise-cancelling headphones,Sony,249,Electronics & Appliances,Audio,Headphones,40,https://images.unsplash.com/photo-1519677100203-a0e668c92439?w=600&auto=format&fit=crop&q=60,San Jose USA,2025-12-23T06:00:00.000Z,true
Bose SoundLink,Portable Bluetooth speaker,Bose,129,Electronics & Appliances,Audio,Speakers,35,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=600&auto=format&fit=crop&q=60,Las Vegas USA,2025-12-22T07:45:00.000Z,true
Nikon D7500,DSLR 20.9MP,Nikon,699,Cameras & Lenses,Cameras,DSLR,11,https://images.unsplash.com/photo-1519183071298-a2962be96d57?w=600&auto=format&fit=crop&q=60,Phoenix USA,2025-12-20T04:40:00.000Z,true
Apple Watch Series 7,Smartwatch GPS 41mm,Apple,329,Electronics & Appliances,Wearables,Smartwatch,26,https://images.unsplash.com/photo-1511732351150-3ef05c859b04?w=600&auto=format&fit=crop&q=60,San Diego USA,2025-12-19T19:40:00.000Z,true
Fitbit Versa 3,Fitness smartwatch,Fitbit,189,Electronics & Appliances,Wearables,Fitness Tracker,30,https://images.unsplash.com/photo-1555939594-347c3b9340b1?w=600&auto=format&fit=crop&q=60,Atlanta USA,2025-12-16T13:40:00.000Z,true
KitchenAid Mixer,Stand mixer 5qt,KitchenAid,249,Kitchen Appliances,Mixers,Stand Mixer,12,https://images.unsplash.com/photo-1586201375761-83865001e31b?w=600&auto=format&fit=crop&q=60,Orlando USA,2025-12-17T18:20:00.000Z,true
Dyson V11,Stick vacuum,Dyson,399,Home & Garden,Home Appliances,Vacuum,18,https://images.unsplash.com/photo-1603714223807-9927a9fd0a0c?w=600&auto=format&fit=crop&q=60,Philadelphia USA,2025-12-21T20:50:00.000Z,true
IKEA Sofa 3-Seater,Comfortable fabric sofa,IKEA,349,Furniture,Sofas,Living Room,9,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&auto=format&fit=crop&q=60,Newark USA,2025-12-13T09:00:00.000Z,true
IKEA Dining Set,Table with 4 chairs,IKEA,289,Furniture,Dining,Set,10,https://images.unsplash.com/photo-1519710164239-da123dc03ef4?w=600&auto=format&fit=crop&q=60,Baltimore USA,2025-12-14T11:20:00.000Z,true
Nike Air Max,Sports shoes,Nike,119,Fashion,Shoes,Sports,40,https://images.unsplash.com/photo-1528701800489-20be3c4b3fde?w=600&auto=format&fit=crop&q=60,Columbus USA,2025-12-12T09:35:00.000Z,true
Adidas Ultraboost,Running shoes,Adidas,129,Fashion,Shoes,Running,36,https://images.unsplash.com/photo-1519741491154-3f1f3e49b0d1?w=600&auto=format&fit=crop&q=60,Charlotte USA,2025-12-11T08:15:00.000Z,true
Apple MacBook Air M2,13-inch laptop,Apple,1099,Computers & Laptops,Laptops,Ultrabook,15,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,San Mateo USA,2025-12-10T20:10:00.000Z,true
Acer Nitro 5,Gaming laptop,Acer,899,Computers & Laptops,Laptops,Gaming,12,https://images.unsplash.com/photo-1535223289827-42f1e9919769?w=600&auto=format&fit=crop&q=60,Raleigh USA,2025-12-22T22:25:00.000Z,true
Logitech MX Master 3,Wireless mouse,Logitech,89,Electronics & Appliances,Computer Accessories,Mouse,50,https://images.unsplash.com/photo-1587825140400-1c1a1dcd3f0e?w=600&auto=format&fit=crop&q=60,San Antonio USA,2025-12-21T05:25:00.000Z,true
Razer BlackWidow,Mechanical keyboard,Razer,129,Electronics & Appliances,Computer Accessories,Keyboard,35,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Detroit USA,2025-12-20T07:45:00.000Z,true
GoPro HERO10,Action camera,GoPro,399,Cameras & Lenses,Cameras,Action Cam,21,https://images.unsplash.com/photo-1519183071298-a2962be96d57?w=600&auto=format&fit=crop&q=60,San Juan USA,2025-12-18T03:40:00.000Z,true
Anker PowerCore,Portable power bank,Anker,49,Electronics & Appliances,Mobile Accessories,Power Bank,60,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Fort Worth USA,2025-12-17T02:10:00.000Z,true
Kitchen Knife Set,Stainless knife set,Zwilling,79,Home & Garden,Kitchen,Knives,45,https://images.unsplash.com/photo-1556911220-e15b29be8c5d?w=600&auto=format&fit=crop&q=60,Kansas City USA,2025-12-16T04:50:00.000Z,true
Apple AirPods Pro,Wireless earbuds,Apple,199,Electronics & Appliances,Audio,Earbuds,48,https://images.unsplash.com/photo-1585386959984-a415522316dc?w=600&auto=format&fit=crop&q=60,Memphis USA,2025-12-15T16:00:00.000Z,true
Xiaomi Mi Band 6,Fitness tracker,Xiaomi,49,Electronics & Appliances,Wearables,Fitness Tracker,70,https://images.unsplash.com/photo-1511732351150-3ef05c859b04?w=600&auto=format&fit=crop&q=60,Jacksonville USA,2025-12-14T14:30:00.000Z,true
Instant Pot Duo,6-quart pressure cooker,Instant Pot,99,Kitchen Appliances,Pressure Cookers,Electric Cooker,30,https://images.unsplash.com/photo-1544025162-d76694265947?w=600&auto=format&fit=crop&q=60,Nashville USA,2025-12-13T12:15:00.000Z,true
Philips Air Fryer,Healthy frying,Philips,129,Kitchen Appliances,Air Fryers,Air Fryer,28,https://images.unsplash.com/photo-1603808033171-8e2b0d4b5c48?w=600&auto=format&fit=crop&q=60,Richmond USA,2025-12-12T18:25:00.000Z,true
Breville Espresso,Espresso machine,Breville,399,Kitchen Appliances,Coffee Machines,Espresso,10,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=600&auto=format&fit=crop&q=60,St Louis USA,2025-12-11T09:25:00.000Z,true
Samsung 970 EVO,1TB NVMe SSD,Samsung,89,Electronics & Appliances,Storage,SSD,80,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Indianapolis USA,2025-12-10T08:05:00.000Z,true
Seagate Portable HDD,2TB USB drive,Seagate,69,Electronics & Appliances,Storage,HDD,90,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Cincinnati USA,2025-12-09T07:55:00.000Z,true
Garmin Forerunner 245,Running watch,Garmin,199,Electronics & Appliances,Wearables,Smartwatch,25,https://images.unsplash.com/photo-1555939594-347c3b9340b1?w=600&auto=format&fit=crop&q=60,Minneapolis USA,2025-12-08T06:45:00.000Z,true
DJI Mavic Mini,Compact drone,DJI,299,Electronics & Appliances,Drones,Camera Drone,15,https://images.unsplash.com/photo-1504196606672-aef5c9cefc92?w=600&auto=format&fit=crop&q=60,Omaha USA,2025-12-07T05:35:00.000Z,true
Microsoft Surface Pro 7,2-in-1 laptop,Microsoft,799,Computers & Laptops,Tablets,Windows Tablet,18,https://images.unsplash.com/photo-1542751110-97427bbecf20?w=600&auto=format&fit=crop&q=60,Milwaukee USA,2025-12-06T04:25:00.000Z,true
OnePlus 9,128GB smartphone,OnePlus,429,Mobiles,Smartphones,Android,22,https://images.unsplash.com/photo-1598327103711-6f0b6cd0b3f2?w=600&auto=format&fit=crop&q=60,Oklahoma City USA,2025-12-05T03:15:00.000Z,true
